GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pratica-01,default,Observation,0,39,0,0,0,14,0,7,0,7
pratica-01,default,BioClusterManager,2,99,3,19,1,15,3,10,0,2
